year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100004049,SDRW2100004049.1.1.114,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004049\SDRW2100004049.1.1.114.lab,68,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004049\SDRW2100004049.1.1.114.wav,True,True,
2021,SDRW2100004057,SDRW2100004057.1.1.110,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.110.lab,39,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.110.wav,True,True,
2021,SDRW2100004057,SDRW2100004057.1.1.111,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.111.lab,39,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.111.wav,True,True,
2021,SDRW2100004057,SDRW2100004057.1.1.328,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.328.lab,56,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004057\SDRW2100004057.1.1.328.wav,True,True,
2021,SDRW2100004059,SDRW2100004059.1.1.203,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004059\SDRW2100004059.1.1.203.lab,100,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004059\SDRW2100004059.1.1.203.wav,True,True,
2021,SDRW2100004060,SDRW2100004060.1.1.336,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004060\SDRW2100004060.1.1.336.lab,79,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004060\SDRW2100004060.1.1.336.wav,True,True,
2021,SDRW2100004067,SDRW2100004067.1.1.328,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004067\SDRW2100004067.1.1.328.lab,81,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004067\SDRW2100004067.1.1.328.wav,True,True,
2021,SDRW2100004075,SDRW2100004075.1.1.95,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004075\SDRW2100004075.1.1.95.lab,152,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004075\SDRW2100004075.1.1.95.wav,True,True,
2021,SDRW2100004079,SDRW2100004079.1.1.141,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004079\SDRW2100004079.1.1.141.lab,68,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004079\SDRW2100004079.1.1.141.wav,True,True,
2021,SDRW2100004079,SDRW2100004079.1.1.189,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004079\SDRW2100004079.1.1.189.lab,65,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004079\SDRW2100004079.1.1.189.wav,True,True,
