year,input_contract_id,utt_id,reason_code,exclusion_scope,evidence_path,decision,notes
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.130,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.131,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.132,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.133,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.134,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.135,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.136,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.137,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.138,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.139,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.14,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.140,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.141,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.142,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.143,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
2020,7b52204cdb2119b057e5d961ecd75ab33858a3f5a1323d5018d9649e24f53840,SDRW2000000176.1.1.144,audio_pairing_unresolved,alignment_and_analysis,C:\Users\ari30\research\2026_summer_research\outputs\reports\PLAN_2020_wav_duration_recovery_20260801.csv,pending,target_unresolved
